bvmc_id,nombre,wikidata_uri,pais,sexo,imagen,ano_nacimiento,ano_fallecimiento,generos
44323,Dmitri Shostakóvich,http://www.wikidata.org/entity/Q80135,Unión Soviética,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Dmitri%20Shostakovich%20credit%20Deutsche%20Fotothek%20adjusted.jpg,1906,1975,sinfonía#ópera
59589,Julio II,http://www.wikidata.org/entity/Q80516,Francia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Julius%20II.jpg,1443,1513,
7739,Arthur Miller,http://www.wikidata.org/entity/Q80596,Estados Unidos,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur-miller.jpg,1915,2005,
4188,Edvard Grieg,http://www.wikidata.org/entity/Q80621,Noruega,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Eilif%20Peterssen-Edvard%20Grieg%201891.jpg,1843,1907,música clásica
2051,Henri Poincaré,http://www.wikidata.org/entity/Q81082,Francia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Poincar%C3%A9-2.jpg,1854,1912,
8705,Karl Popper,http://www.wikidata.org/entity/Q81244,Primera República de Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Popper.jpg,1902,1994,
8705,Karl Popper,http://www.wikidata.org/entity/Q81244,Estado Federal de Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Popper.jpg,1902,1994,
8705,Karl Popper,http://www.wikidata.org/entity/Q81244,Imperio austrohúngaro,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Popper.jpg,1902,1994,
8705,Karl Popper,http://www.wikidata.org/entity/Q81244,Reino Unido,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Popper.jpg,1902,1994,
37746,Aldous Huxley,http://www.wikidata.org/entity/Q81447,Reino Unido,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Aldous%20Huxley.JPG,1894,1963,
521,Pero López de Ayala,http://www.wikidata.org/entity/Q81678,España,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20L%C3%B3pez%20de%20Ayala.jpg,1332,1407,crónica#poesía
10452,François Mauriac,http://www.wikidata.org/entity/Q81685,Francia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Mauriac%20%281932%29.jpg,1885,1970,
8248,George Berkeley,http://www.wikidata.org/entity/Q82049,Reino de Irlanda,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Berkeley%20by%20Jonh%20Smibert.jpg,1685,1753,
1690,John Keats,http://www.wikidata.org/entity/Q82083,Reino de Gran Bretaña,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Keats%20by%20William%20Hilton.jpg,1795,1821,
1690,John Keats,http://www.wikidata.org/entity/Q82083,Reino Unido,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Keats%20by%20William%20Hilton.jpg,1795,1821,
69665,Martin Bossange,http://www.wikidata.org/entity/Q82109,Francia,masculino,,1765,1865,
30036,Jean-Baptiste Lamarck,http://www.wikidata.org/entity/Q82122,Francia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20de%20Lamarck.jpg,1744,1829,
41382,Samuel Taylor Coleridge,http://www.wikidata.org/entity/Q82409,Reino Unido,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Coleridge.jpeg,1772,1834,
32274,Plinio el Viejo,http://www.wikidata.org/entity/Q82778,Antigua Roma,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Grande%20Illustrazione%20del%20Lombardo%20Veneto%20Vol%203%20Plinio%20Secondo%20300dpi.jpg,23,79,
